repo		ablation	contracts/scan/results elapsed time
41/contracts	budget_0	23c/1/0r	8.520	0
41/contracts	budget_inf	23c/1/33r (rc=255)	9.121	255
44	baseline	17c/1/0r	9.254	0
44	no_init_only	17c/1/0r	9.633	0
44	no_admin_benign	17c/1/0r	13.454	0
44	sink_none	17c/1/0r	12.230	0
44	sink_samevar	17c/1/0r	9.622	0
44	budget_0	17c/1/0r	9.069	0
44	budget_inf	17c/1/0r	9.462	0
47	baseline	10c/1/0r	3.244	0
47	no_init_only	10c/1/0r	3.163	0
47	no_admin_benign	10c/1/0r	3.398	0
47	sink_none	10c/1/1r (rc=255)	3.223	255
47	sink_samevar	10c/1/0r	3.413	0
47	budget_0	10c/1/0r	3.444	0
47	budget_inf	10c/1/0r	3.263	0
49	baseline	77c/1/19r (rc=255)	14.882	255
49	no_init_only	77c/1/19r (rc=255)	12.030	255
49	no_admin_benign	77c/1/19r (rc=255)	13.782	255
49	sink_none	77c/1/19r (rc=255)	13.288	255
49	sink_samevar	77c/1/2r (rc=255)	13.159	255
49	budget_0	77c/1/0r	14.096	0
49	budget_inf	77c/1/19r (rc=255)	13.597	255
5/vader-protocol	baseline	24c/1/22r (rc=255)	8.984	255
5/vader-protocol	no_init_only	24c/1/22r (rc=255)	8.560	255
5/vader-protocol	no_admin_benign	24c/1/23r (rc=255)	10.830	255
5/vader-protocol	sink_none	24c/1/23r (rc=255)	9.986	255
5/vader-protocol	sink_samevar	24c/1/11r (rc=255)	12.984	255
5/vader-protocol	budget_0	24c/1/0r	9.683	0
5/vader-protocol	budget_inf	24c/1/23r (rc=255)	9.125	255
52	baseline	110c/1/32r (rc=255)	16.569	255
52	no_init_only	110c/1/29r (rc=255)	14.820	255
52	no_admin_benign	110c/1/33r (rc=255)	16.032	255
52	sink_none	110c/1/35r (rc=255)	17.210	255
52	sink_samevar	110c/1/7r (rc=255)	14.102	255
52	budget_0	110c/1/0r	13.452	0
52	budget_inf	110c/1/30r (rc=255)	17.182	255
54/smart-contracts	baseline	113c/1/4r (rc=255)	22.909	255
54/smart-contracts	no_init_only	113c/1/4r (rc=255)	22.315	255
54/smart-contracts	no_admin_benign	113c/1/4r (rc=255)	20.887	255
54/smart-contracts	sink_none	113c/1/4r (rc=255)	23.493	255
54/smart-contracts	sink_samevar	113c/1/0r	19.111	0
54/smart-contracts	budget_0	113c/1/0r	21.449	0
54/smart-contracts	budget_inf	113c/1/4r (rc=255)	20.392	255
56	baseline	155c/1/108r (rc=255)	40.580	255
56	no_init_only	155c/1/105r (rc=255)	20.487	255
56	no_admin_benign	155c/1/108r (rc=255)	37.388	255
56	sink_none	155c/1/138r (rc=255)	35.635	255
56	sink_samevar	155c/1/84r (rc=255)	35.836	255
56	budget_0	155c/1/0r	33.610	0
56	budget_inf	155c/1/106r (rc=255)	38.737	255
57/ibbtc	baseline	53c/1/5r (rc=255)	7.832	255
57/ibbtc	no_init_only	53c/1/5r (rc=255)	8.317	255
57/ibbtc	no_admin_benign	53c/1/5r (rc=255)	9.329	255
57/ibbtc	sink_none	53c/1/5r (rc=255)	7.699	255
57/ibbtc	sink_samevar	53c/1/4r (rc=255)	7.782	255
57/ibbtc	budget_0	53c/1/0r	8.019	0
57/ibbtc	budget_inf	53c/1/5r (rc=255)	8.179	255
58/mellow-vaults	baseline	99c/1/20r (rc=255)	13.122	255
58/mellow-vaults	no_init_only	99c/1/20r (rc=255)	11.369	255
58/mellow-vaults	no_admin_benign	99c/1/20r (rc=255)	16.230	255
58/mellow-vaults	sink_none	99c/1/24r (rc=255)	11.965	255
58/mellow-vaults	sink_samevar	99c/1/10r (rc=255)	11.344	255
58/mellow-vaults	budget_0	99c/1/0r	10.748	0
58/mellow-vaults	budget_inf	99c/1/20r (rc=255)	12.725	255
59/src	baseline	80c/1/57r (rc=255)	42.624	255
59/src	no_init_only	80c/1/80r (rc=255)	18.211	255
59/src	no_admin_benign	80c/1/70r (rc=255)	43.082	255
59/src	sink_none	80c/1/81r (rc=255)	39.618	255
59/src	sink_samevar	80c/1/8r (rc=255)	38.381	255
59/src	budget_0	80c/1/0r	39.039	0
59/src	budget_inf	80c/1/86r (rc=255)	39.851	255
6	baseline	6c/1/12r (rc=255)	5.843	255
6	no_init_only	6c/1/12r (rc=255)	5.575	255
6	no_admin_benign	6c/1/11r (rc=255)	5.700	255
6	sink_none	6c/1/12r (rc=255)	5.867	255
6	sink_samevar	6c/1/3r (rc=255)	7.708	255
6	budget_0	6c/1/0r	5.515	0
6	budget_inf	6c/1/11r (rc=255)	5.768	255
60/protocol	baseline	46c/1/4r (rc=255)	21.025	255
60/protocol	no_init_only	46c/1/4r (rc=255)	17.352	255
60/protocol	no_admin_benign	46c/1/4r (rc=255)	17.730	255
60/protocol	sink_none	46c/1/4r (rc=255)	16.307	255
60/protocol	sink_samevar	46c/1/2r (rc=255)	16.798	255
60/protocol	budget_0	46c/1/0r	17.842	0
60/protocol	budget_inf	46c/1/4r (rc=255)	18.391	255
